title,number,photo,Салоны,Бренд,Коллекция,color code,🔒 Row ID,Narrative,example 1,example 2,example 3,Global counter
FANTASY ,68,https://i.ibb.co/fFNCR1Y/LUXIO-68-FANTASY-36.png,Nail O`Clock,LUXIO,COLOURS,231f1a,pmHO7q55QhG1jlnRDe1EVQ,,,,,
PRECIOUS ,69,https://i.ibb.co/b2JHBrS/LUXIO-69-PRECIOUS-37.png,Nail O`Clock,LUXIO,COLOURS,786395,jL6-3hpeQq6PPxWdPh5B7Q,,,,,
PLAYFUL ,70,https://i.ibb.co/kqT0bqx/LUXIO-70-PLAYFUL-38.png,Nail O`Clock,LUXIO,COLOURS,d6b854,FvdYxx9aTmqPQb8QY9HY-g,,,,,
AFTERGLOW ,71,https://i.ibb.co/Kmz2Pg5/LUXIO-71-AFTERGLOW-39.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,e0c8d8,21tZWcKmQyGJw4XFS8jw8Q,,,,,
TIFFANY ,72,https://i.ibb.co/SrCwYt6/LUXIO-72-TIFFANY-40.png,Nail O`Clock,LUXIO,COLOURS,02998e,VED80RtxTkK7Wb-iZ2qnag,,,,,
ELITE ,73,https://i.ibb.co/Z6VgWpK/LUXIO-73-ELITE-41.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,7c2f88,yLwgNibuTwuWRzFu8Hp1Bw,,,,,
IRRESISTIBLE ,74,https://i.ibb.co/C1VDkHm/LUXIO-74-IRRESISTIBLE-42.png,Nail O`Clock,LUXIO,COLOURS,ea4a85,pJj0Xe90RkWSS3iUw3C6wA,,,,,
PULSE ,75,https://i.ibb.co/BtykTP2/LUXIO-75-PULSE-43.png,Nail O`Clock,LUXIO,COLOURS,cb4602,0zeaAgq8RzC5QyfS.TBajA,,,,,
NONSTOP ,76,https://i.ibb.co/ftntWT0/LUXIO-76-NONSTOP-44.png,Nail O`Clock,LUXIO,COLOURS,dedc01,S0Q8CTESRWagySobKhrW7A,,,,,
ENTRANCING ,77,https://i.ibb.co/C51pNj4/LUXIO-77-ENTRANCING-45.png,Nail O`Clock,LUXIO,COLOURS,a71029,nkZhXvqxQi-ZKr5ay.7n9g,,,,,
TANGO,78,https://i.ibb.co/ZX5gWZz/LUXIO-78-TANGO-46.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,ca2f34,a8uYZDUtTwSalfIf-Y1HBw,,,,,
COSMO ,79,https://i.ibb.co/CwCNv6W/LUXIO-79-COSMO-47.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,e85858,ffXNpxbZS5mw755Zo.l0Lg,,,,,
ENDLESS ,80,https://i.ibb.co/XJgFMwt/LUXIO-80-ENDLESS-48.png,Nail O`Clock,LUXIO,COLOURS,d95199,IfCThZxEQECSwpXX3VxbMg,,,,,
INTUITIVE ,81,https://i.ibb.co/CWqtQy5/LUXIO-81-INTUITIVE-49.png,Nail O`Clock,LUXIO,COLOURS,04353a,b5zJ4IaWSaSTOawO4dG1BQ,,,,,
SPECTRA ,82,https://i.ibb.co/khYwLZy/LUXIO-82-SPECTRA-50.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,030615,9C5HO7L8Qvyo9BaLyuzrvQ,,,,,
POTION ,83,https://i.ibb.co/tJv69n6/LUXIO-83-POTION-51.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,2a0721,KhqGrsG-RwuDCci55xUynw,,,,,
CLASSY ,84,https://i.ibb.co/TmnvG3C/LUXIO-84-CLASSY-52.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,6f0711,mViaYWLIQn2-FR4tIPPUpg,,,,,
CHIC ,85,https://i.ibb.co/S7MtfNT/LUXIO-85-CHIC-53.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,d74c69,9H2OvO-yT3SOZh4l7l3AkQ,,,,,
FLAIR ,86,https://i.ibb.co/1nkfC6V/LUXIO-86-FLAIR-54.png,Nail O`Clock,LUXIO,COLOURS,7b983e,EJ.Q2gSaSzG.rxjYrF9Cgw,,,,,
